datetime,002415,600867,cash,commission,total,returns,equity_curve,drawdown
2018-06-29,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-28,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-27,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-26,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-25,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-22,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-21,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-20,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-19,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-15,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-14,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-13,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-12,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-11,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-08,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-07,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-06,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-05,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-04,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-06-01,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-31,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-30,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-29,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-28,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-25,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-24,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-23,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-22,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-21,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-18,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-17,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-16,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-15,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-14,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
